wordform,train_count,test_count
agresywnego krwiopijcy,0,0
agresywnego krwiopijcę,0,0
agresywnemu krwiopijcy,0,0
agresywni krwiopijcy,0,0
agresywny krwiopijca,0,0
agresywny krwiopijco,0,0
agresywnych krwiopijcach,0,0
agresywnych krwiopijców,1,0
agresywnym krwiopijcom,0,0
agresywnym krwiopijcy,0,0
agresywnym krwiopijcą,0,0
agresywnymi krwiopijcami,0,0
aligator,2,0
aligatora,2,0
aligatorach,0,0
aligatorami,0,0
aligatorem,1,0
aligatorom,0,0
aligatorowi,0,0
aligatory,2,1
aligatorze,0,0
aligatorów,6,0
arcykapłan,0,0
arcykapłana,1,0
arcykapłanach,0,0
arcykapłanami,0,0
arcykapłanem,0,1
arcykapłani,0,0
arcykapłanie,0,0
arcykapłanom,0,0
arcykapłanowi,0,0
arcykapłanów,0,0
baran,0,0
barana,2,0
baranach,0,0
baranami,0,0
baranem,0,0
baranie,0,0
baranom,0,0
baranowi,0,0
barany,2,0
baranów,0,0
brzytw,1,0
brzytwa,4,0
brzytwach,0,0
brzytwami,0,0
brzytwie,1,0
brzytwo,0,0
brzytwom,0,0
brzytwy,2,0
brzytwą,0,0
brzytwę,1,0
błędne ogniki,0,0
błędnego ognika,0,0
błędnemu ognikowi,0,0
błędny ognik,0,0
błędny ogniku,0,0
błędnych ognikach,0,0
błędnych ogników,1,0
błędnym ognikiem,0,0
błędnym ognikom,0,0
błędnym ogniku,0,0
błędnymi ognikami,0,0
chrząszcz,8,2
chrząszcza,11,2
chrząszczach,0,0
chrząszczami,1,0
chrząszcze,2,0
chrząszczem,3,0
chrząszczom,0,0
chrząszczowi,0,0
chrząszczu,0,0
chrząszczy,2,0
chrząszczów,0,0
cieniostwora,27,2
cieniostworach,0,0
cieniostworami,2,0
cieniostworem,5,1
cieniostworom,2,0
cieniostworowi,0,0
cieniostwory,5,0
cieniostworze,2,0
cieniostworzy,0,0
cieniostworów,1,0
cieniostwór,22,2
czarne gobliny,3,0
czarne trolle,1,0
czarne wilki,0,0
czarnego goblina,0,0
czarnego trolla,7,1
czarnego wilka,0,0
czarnemu goblinowi,0,0
czarnemu trollowi,0,0
czarnemu wilkowi,0,0
czarny goblin,0,0
czarny goblinie,0,0
czarny troll,5,2
czarny trollu,0,0
czarny wilk,2,0
czarny wilku,0,0
czarnych goblinach,1,0
