wordform,train_count,test_count
agresywnych krwiopijców,1,0
aligator,2,0
aligatora,2,0
aligatorem,1,0
aligatory,2,1
aligatorów,5,1
arcykapłana,1,0
arcykapłanem,1,0
barana,2,0
barany,2,0
brzytw,1,0
brzytwa,3,1
brzytwie,0,1
brzytwy,2,0
brzytwę,0,1
błędnych ogników,1,0
chrząszcz,9,1
chrząszcza,11,2
chrząszczami,1,0
chrząszcze,2,0
chrząszczem,3,0
chrząszczy,2,0
cieniostwora,27,2
cieniostworami,2,0
cieniostworem,6,0
cieniostworom,2,0
cieniostwory,5,0
cieniostworze,1,1
cieniostworów,1,0
cieniostwór,22,2
czarne gobliny,3,0
czarne trolle,1,0
czarnego trolla,8,0
czarny troll,6,1
czarny wilk,2,0
czarnych goblinach,1,0
czarnym goblinom,1,0
czarnym trollem,1,0
demon,13,3
demona,9,1
demonem,5,1
demonom,1,0
demony,7,0
demonów,8,3
elitarnych orków,2,1
goblin,24,1
goblin wojownik,4,0
goblina,18,4
goblina wojownika,1,0
goblinach,2,0
goblinami,13,0
goblinem,1,0
goblinie,2,0
goblinom,6,0
goblinowi,1,0
gobliny,29,3
goblinów,16,3
golem,13,2
golema,19,2
golemami,3,0
golemem,1,0
golemom,1,0
golemy,6,0
golemów,2,1
herszt orków,1,0
herszta orków,1,0
hersztem orków,1,0
jaszczur,4,1
jaszczura,6,1
jaszczurach,1,0
jaszczuroczłek,2,0
jaszczuroczłekami,1,0
jaszczuroczłeków,2,1
jaszczuroludzi,3,1
jaszczuroludzie,2,1
jaszczuroludziom,1,0
jaszczury,14,1
jaszczurów,9,0
kamiennego golema,1,0
kamiennego strażnika,1,0
kamienny golem,0,1
kamiennymi golemami,1,0
kretoszczur,5,2
kretoszczura,12,3
kretoszczurom,1,0
kretoszczury,4,1
kretoszczurów,6,0
krwiopijca,5,1
krwiopijcach,1,0
krwiopijcy,9,0
krwiopijców,6,0
krwiopijcę,3,0
królowa pełzaczy,0,1
królowej pełzaczy,6,0
królową pełzaczy,3,0
kąsacz,1,0
lodowego golema,8,0
lodowego wilka,1,0
lodowy golem,1,1
lodowych wilków,1,0
młode wilki,1,0
młodego wilka,1,0
młodego ścierwojada,2,0
młody troll,2,0
młody wilk,1,1
młody ścierwojad,15,2
ogar,2,0
ogara,1,1
ognik,1,0
ognika,1,0
ogników,1,0
ogniste jaszczury,1,1
ognistego golema,1,0
ognistego jaszczura,1,1
ognistego smoka,2,0
ognisty demon,1,0
ognisty jaszczur,2,0
ognistych golemów,1,0
ognistych jaszczurów,2,0
olbrzymie szczury,1,0
ork,60,4
ork elita,1,0
ork myśliwy,1,0
ork szaman,1,0
ork wojownik,1,0
ork zwiadowca,2,0
ork-ożywieniec,2,0
ork-szaman,2,0
ork-wojownik,1,1
ork-zwiadowca,3,0
orka,34,6
orka elity,1,2
orka elitę,2,0
orka strażnika,1,0
orka wojownika,1,0
orka-elitę,1,0
orkach,2,0
orkami,34,4
orkiem,6,0
orkiem ożywieńcem,1,0
orkom,9,1
orkowe psy,1,0
orkowego psa,3,1
orkowi,2,0
orkowie,58,14
orkowy pies,1,0
orkowych psów,1,0
orku,1,0
orków,216,23
orków wojowników,1,0
owca,3,0
owce,4,0
owcy,1,0
owcą,1,0
owcę,3,0
owiec,2,0
panter,0,1
pantera,1,0
pantery,1,0
pełzacz,6,1
pełzacz wojownik,1,0
pełzacza,30,3
pełzaczach,1,0
pełzaczami,3,1
pełzacze,10,3
pełzaczem,1,0
pełzaczy,33,3
polne bestie,3,0
polnych bestii,4,0
polną bestię,0,1
preriowe ścierwojady,1,0
preriowego ścierwojada,2,0
preriowy ścierwojad,6,0
preriowych ścierwojadów,2,0
przyzwane szkielety,1,0
przyzwanych szkieletów,1,0
smocze zębacze,1,0
smoczego zębacza,1,0
smoczy zębacz,3,0
smoczym zębaczem,0,1
smok ożywieniec,3,1
smoka ożywieńca,4,0
smoka-ożywieńca,1,0
smokiem ożywieńcem,1,0
szaman,7,0
szamana,1,1
szamanem,2,0
szamani,2,0
szamani orków,1,0
szamanów,2,0
szczur,14,0
szczura,7,2
szczurami,4,0
szczurom,1,0
szczurowi,1,0
szczury,13,0
szczurze,1,0
szczurów,4,0
szkielecie,5,2
szkielet,23,0
szkielet goblin,1,0
szkielet mag,4,0
szkielet maga,1,0
szkielet maga z wieży mgieł,1,0
szkieleta,9,0
szkieletami,3,0
szkieletem,7,0
szkieletom,3,0
szkieletom goblinom,1,0
szkieletu,4,0
szkieletu maga,2,0
szkielety,20,3
szkielety gobliny,1,0
szkieletów,15,2
topielca,10,0
topielce,5,0
topielców,4,0
topielec,7,0
topielec spod tamy,1,0
troll,39,6
trolla,38,4
trollami,2,0
trolle,9,1
trollem,6,0
trolli,12,2
warg,1,0
warga,1,0
wargami,1,0
wargi,1,1
wargów,2,1
wilk,39,1
wilka,41,3
wilkami,5,1
wilki,18,2
wilkiem,1,0
wilkowi,1,0
wilku,26,4
wilków,13,2
wojownicy cienia,0,1
wojownik cienia,2,0
wojownika cienia,1,0
wąż błotny,1,0
węża błotnego,2,0
węże błotne,3,1
zombi,14,2
zombie,37,6
zębacz,24,3
zębacza,13,1
zębaczami,1,0
zębacze,15,0
zębaczem,2,1
zębaczom,2,0
zębaczu,1,0
zębaczy,5,0
ścierwojad,34,2
ścierwojada,18,1
ścierwojadami,3,1
ścierwojadem,3,0
ścierwojadom,1,0
ścierwojady,14,1
ścierwojadów,19,1
